fips,Communication,Economy,Education,Food and Water,Government,Healthcare Delivery and Public Health Services,Housing,Nurturing and Care,Population Well being,Transportation,Engineered Systems,Natural Systems,Preparedness,Deprivation,Inequality,Vulnerability,Social Cohesion
18081,0.641530679,0.580143953,0.445024109,0.490173442,0.364060263,0.525493522,0.490522768,0.340941868,0.558813389,0.381462905,0.629365507,0.579118808,0.46319282,0.589803564,0.626180371,0.552258459,0.464920499
18083,0.476390088,0.538344945,0.478536323,0.514190314,0.551822062,0.431476313,0.545739727,0.593481317,0.437764997,0.547230626,0.508232388,0.604202194,0.501233137,0.537561948,0.446208939,0.509438041,0.46652561
18085,0.476390088,0.581305943,0.482145927,0.420495835,0.262016574,0.480752007,0.517064018,0.41602551,0.523716364,0.5119243,0.460862577,0.584877159,0.482462274,0.519971523,0.634577315,0.539408978,0.47869251
18087,0.311858224,0.461374788,0.446662233,0.308507901,0.000135466,0.427811591,0.29243687,0.424226682,0.516223575,0.740664071,0.579058173,0.580385577,0.401895782,0.421883611,0.685736961,0.503807688,0.666014801
18089,0.641530679,0.505549258,0.414879198,0.591160971,0.494038747,0.470250714,0.422657743,0.365506804,0.453827355,0.42662998,0.551652035,0.615391264,0.554925679,0.448247153,0.500449998,0.522310502,0.511876033
18091,0.476390088,0.491104972,0.478998178,0.500256751,0.399345865,0.517311124,0.472659219,0.387296552,0.472441917,0.449534444,0.445795115,0.604256657,0.482462274,0.438699919,0.54816512,0.473516457,0.485409042
18093,0.476390088,0.478732419,0.372233665,0.550384006,0.458508088,0.472177239,0.467148995,0.517339199,0.419688196,0.335432251,0.488060158,0.585278448,0.554925679,0.455899355,0.504382214,0.483365057,0.447758133
18095,0.476390088,0.457145037,0.415901088,0.532577427,0.523441522,0.48226677,0.508465292,0.526905578,0.398324808,0.506414589,0.537567571,0.573926529,0.554925679,0.445668026,0.588836388,0.460593029,0.488053243
18097,0.641530679,0.549676535,0.415901088,0.612374859,0.692242297,0.525003608,0.539213895,0.444937016,0.428698484,0.449534444,0.574499026,0.580878984,0.519544993,0.453539784,0.385991864,0.555331374,0.569968136
18099,0.476390088,0.514371868,0.423234259,0.467833583,0.253893001,0.478677479,0.463262437,0.5135704,0.560821393,0.560900423,0.571294964,0.593614395,0.443379043,0.528315197,0.597073371,0.500703811,0.515852378
18101,0.476390088,0.475940597,0.408374641,0.520669123,0.974017453,0.448617202,0.566960953,0.53824068,0.484010147,0.391375847,0.456638758,0.593413244,0.46319282,0.533101968,0.64724121,0.56895854,0.52042782
18103,0.476390088,0.427801572,0.472383375,0.504300812,0.478256194,0.433111725,0.465942132,0.559607977,0.489808873,0.476649289,0.378543151,0.584749244,0.443379043,0.418954335,0.580634063,0.421129481,0.461097518
18105,0.641530679,0.47328175,0.493548139,0.569963565,0.555743309,0.598818302,0.546566834,0.380977027,0.565785311,0.688006942,0.584517589,0.588023088,0.46319282,0.609256443,0.232655401,0.695486256,0.458204445
18107,0.476390088,0.519786,0.548674462,0.484691572,0.400657296,0.480692958,0.546266243,0.553499921,0.518642068,0.609135723,0.52601057,0.597368157,0.554925679,0.506107463,0.634577315,0.502209949,0.518932077
18109,0.476390088,0.501460531,0.454798383,0.503570524,0.365954189,0.492635531,0.433883864,0.518189626,0.477478927,0.449534444,0.486154717,0.587738551,0.482462274,0.514221478,0.672819828,0.534298969,0.460246123
